RegisterWidgetDefDesc
WidgetDefIdentifier,WidgetDisplayName,WidgetDescription
HomePageContainer,Contêiner da Página Inicial,Widget de Contêiner da Página Inicial
ContentPageContainer,Contêiner de coluna única,Widget de contêiner de colunas único
DepartmentPageContainer,Contêiner de duas colunas (conteúdo de barra lateral esquerda e linha de divisão),Um widget de contêiner de duas colunas (conteúdo de barra lateral esquerda e de liha de divisão)
SubCategoryPageContainer,Contêiner de duas colunas (barra lateral esquerda),Um widget de contêiner de duas colunas (barra lateral esquerda)
SearchLandingPageContainer,Contêiner de coluna única com banner de cabeçalho,Widget de contêiner de coluna única com banner de cabeçalho
SearchResultPageContainer,Contêiner de duas colunas (barra lateral esquerda e com guias),Um widget de contêiner de duas colunas (barra lateral esquerda com guias)
StaticContentContainer,Contêiner de duas colunas (barra lateral direita),Um widget de contêiner de duas colunas (barra lateral direita)
ProductPageContainer,Contêiner de página de produto,Widget de contêiner de página de produto
